store_title,latitude,longitude,meta_description,meta_keyword,meta_title,store_address,store_city,store_state,country,store_description,store_hours_friday,store_hours_monday,store_hours_saturday,store_hours_sunday,store_hours_thursday,store_hours_tuesday,store_hours_wednesday,store_news,store_phone,store_postcode,store_serviced_suburbs,store_url
Godfreys Caulfield,-37.888542,145.021252,,,,"380 Hawthorn Road , Caulfield VIC 3162, Australia",Caulfield,Victoria,Australia,,8:30am - 6:00pm,8:30am - 5:30pm,9:00am - 5:00pm,10:00am - 5:00pm,8:30am - 5:30pm,8:30am - 5:30pm,8:30am - 5:30pm,,03 9528 5666,3162,,
Godfreys Chadstone,-37.887706,145.080044,,,,"Shop B082, Chandstone Shopping Centre, 1341 Dandenong Road, Chadstone VIC 3148, Australia",Chadstone,Victoria,Australia,,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 5:00pm,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,03 9569 0544,3148,,
Godfreys Chatswood,-33.795588,151.186879,,,,"GF Shop 7, Cnr Neridah Street & VIC Ave, Chatswood NSW 2067, Australia",Chatswood,New South Wales,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,9:00am - 8:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,02 9412 4206,2067,,
Godfreys Chermside,-27.386181,153.03329,,,,"Shop 121B, Westfield Shoppingtown, Cnr Gympie & Hamilton Road, Chermside QLD 4032, Australia",Chermside,Queensland,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,9:00am - 7:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,07 3359 5899,4032,,
Godfreys Christchurch,-43.458348,172.624064,,,,"554 Main North Road , Belfast, Christchurch  8051, New Zealand",Christchurch,,New Zealand,"Godfreys Churchill are the vacuum and cleaning specialists! We stock a fantastic range of vacuum cleaners, steam mops, carpet shampooers and much more. Come and visit us today!",9am - 5.30pm,9am - 5.30pm,9am - 5pm,10am - 4pm,9am - 5.30pm,9am - 5.30pm,9am - 5.30pm,,03 3238547,8051,"<p>Avonhead, Burwood,&nbsp;Belfast, Christchurch Central, Hornby, Kaiapoi, Rangiora, West Coast</p>",
Godfreys Churchill,-34.861015,138.582722,,,,"Shop 29 Churchill Centre, 400 Churchill Rd, Kilburn SA 5084, Australia",Kilburn,South Australia,Australia,,9:00am - 8:00pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 5:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,03 8260 4280,5084,,
Godfreys Clarkson,-31.692372,115.7204,,,,"Unit 5, 61 Key Largo Drive, Clarkson WA 6030, Australia",Clarkson,Western Australia,Australia,,,,,,,,,,08 9408 6134,6030,,
Godfreys Clayton ,-37.921299,145.138623,,,,"2103 Dandenong Road, Clayton  VIC 3168, Australia",Clayton ,Victoria,Australia,,8:00am - 6:00pm,8:00am - 6:00pm,9:00am - 5:00pm,9:00am - 5:00pm,8:00am - 6:00pm,8:00am - 6:00pm,8:00am - 6:00pm,,03 8542 2100 ,3168,,
Godfreys Coastlands,-40.918401,175.00386,,,,"Shop MTB5, Coastlands Shoppingtown, Main Road South, Paraparaumu, Kapiti Coast  5032, New Zealand",Kapiti Coast,,New Zealand,,9am - 5.30pm,9am - 5.30pm,9am - 5.30pm,10am - 5pm,9am - 6pm,9am - 5.30pm,9am - 5.30pm,,04 298 4295,5032,,
Godfreys Coffs Harbour,-30.280985,153.128352,,,,"Tenancy 13, Park Beach Homebase, No. 252 Pacific Hwy, Coffs Harbour NSW 2450, Australia",Coffs Harbour,New South Wales,Australia,,9am - 5.30pm,9am - 5.30pm,9am - 5pm,10am - 4pm,9am - 5.30pm,9am - 5.30pm,9am - 5.30pm,,02 6652 6480,2450,,
Godfreys Cranbourne,-38.083483,145.278547,,,,"Shop 13, Cranbourne Homemaker Centre, Cnr South Gippsland Hwy & Thompsons Road, Cranbourne VIC 3977, Australia",Cranbourne,Victoria,Australia,,9:00am - 8:00pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 5:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,03 5995 8444,3977,,
Godfreys Crossroads,-33.957853,150.881993,,,,"Shop PAD 102 Crossroads Homemaker Centre, corner Beech Road and Camden Valley Way , Casula NSW 2170, Australia",Casula,New South Wales,Australia,,9:00am - 8:00pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 5:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,02 9601 6234 ,2170,,
Godfreys Croydon Superstore,-34.897986,138.561768,,,,"475 Port Road, Croydon  SA 5108, Australia",Croydon ,South Australia,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,11:00am - 5:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,08 8340 4611,5108,,
Godfreys Dandenong,-37.986945,145.21688,,,,"Dandenong Plaza Shopping Centre, Cnr McCrae and Walker Street, Dandenong VIC 3175, Australia",Dandenong,Victoria,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,11:00am - 5:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,03 9794 8856 ,3175,,
Godfreys Darwin,-12.391744,130.856864,,,,"Unit 16,  Homemaker Village, 356 Bagot Road , Millner NT 810, Australia",Millner,Northern Territory,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 4:00pm,10:00am - 3:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,08 8948 2084,810,,
Godfreys Dee Why,-33.753592,151.28494,,,,"Shop 1, 669 Pittwater Road, Dee Why NSW 2099, Australia",Dee Why,New South Wales,Australia,"<p>Godfreys Dee Why have a solution for all your cleaning needs! If you are after a new vacuum cleaner, steam mop or <a href=""http://www.godfreys.com.au/steam-shampoo/carpet-shampooers"" target=""_blank"">carpet shampooer</a>, then you've come to the right place. As well as all of the top brands, we also have an in-house service and repair centre for your convenience.</p>
<p>&nbsp;</p>
<p>Godfreys Dee Why are able to provide free delivery within a certain distance, and we can also provide in-home servicing for ducted vacuum systems. We stock a great range of <a href=""http://www.godfreys.com.au/vacuum-cleaner-parts/vacuum-cleaner-bags"" target=""_blank"">vacuum bags</a>, filters and consumables, and we have a lot of hard-to-find parts. We offer carpet shampooers for both sale and hire, and we can test and tag appliances for you as well. Come and see the friendly team today!</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",9:00am - 5:00pm,9:00am - 5:00pm,9:00am - 4:00pm,10:00am - 3:00pm,9:00am - 5:00pm,9:00am - 5:00pm,9:00am - 5:00pm,,02 9982 8970,2099,"<p>Avalon, Brookvale, Dee Why, Frenchs Forest, Mona Vale, Narrabeen, Palm Beach</p>",
Godfreys Derwent Park,-42.837036,147.288108,,,,"253 Main Road, Derwent Park TAS 7009, Australia",Derwent Park,Tasmania,Australia,"<p>Godfreys Derwent Park have an excellent range of <a href=""http://www.godfreys.com.au/vacuum-cleaners"" target=""_blank"">vacuum cleaners</a>, steam mops and carpet shampooers instore. We have a highly-trained team who will be able to find a solution for all cleaning problems, and we can cater for all budgets as well. With a great range of commercial vacuums and commercial cleaning products in stock, we can also help those businesses who need industrial-strength equipment.&nbsp;</p>
<p>&nbsp;</p>
<p>The friendly staff at Godfreys Derwent Park are experts in all things cleaning, so come and visit us instore today and we'll help you out!</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,03 6272 1866,7009,"<p>Bridgewater, Brighton, Derwent Park, Glenorchy City, Merton, Montrose, Moonah, New Norfolk, New Town</p>",
Godfreys Doncaster,-37.786063,145.125961,,,,"Shop 1112, Westfield Doncaster, Cnr Doncaster & Williamsons Road, Doncaster VIC 3108, Australia",Doncaster,Victoria,Australia,,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 6:00pm,10:00am - 5:00pm,9:00am - 7:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,03 9840 0032,3108,,
Godfreys Dunedin,-45.880613,170.504008,,,,"Unit A, 122 Cumberland St, Dunedin  9016, New Zealand",Dunedin,,New Zealand,"<p><span style=""font-size: small;"">Godfreys Dunedin has a vast range of <a href=""http://www.godfreys.co.nz/vacuum-cleaners"">vacuum cleaners</a>, steam cleaners and <a href=""http://www.godfreys.co.nz/steam-shampoo/carpet-shampooers"">carpet shampooers</a> for you to browse in our environmentally-friendly superstore. We also have a huge selection of commercial vacuum cleaners, and an on-site repair centre to get your old vacuum up and running again. We have lay-by and interest-free options for your convenience and you'll always be offered the best deal at Godfreys.&nbsp;Our experienced staff at Godfreys Dunedin will help you find the perfect cleaning solution for your home or business, so you can feel comfortable using your new cleaner.&nbsp;You can even vacuum your car for FREE while you are here! &nbsp;</span></p>
<p>&nbsp;</p>
<p><span style=""font-size: small;"">We are open 7 days and we welcome trade-ins, so please come in store today and say hi and we'll happily give you free product demonstrations of any machines that you are interested in.&nbsp;With lots of parking and an easy-to-find location, between Hunters furniture and Super Cheap Auto, we are located right under the bridge on Cumberland Street. We would love to see you at Godfreys Dunedin today!</span></p>
<p>&nbsp;</p>
<p><span style=""font-size: small;"">Our services include:</span></p>
<p><span style=""font-size: small;"">- Repairs from $9.95</span><br /><span style=""font-size: small;"">- Service all Brands</span><br /><span style=""font-size: small;"">- Online Prices in Store</span><br /><span style=""font-size: small;"">- New Range of Robot Vacuums in store</span><br /><span style=""font-size: small;"">- No Obligation, FREE Home Demonstrations</span><br /><span style=""font-size: small;"">- Trade-In Your Old Vacuum</span></p>
<ul>
</ul>",9am - 5.30pm,9am - 5.30pm,9am - 5.30pm,10am - 5pm,9am - 5.30pm,9am - 5.30pm,9am - 5.30pm,,03 474 5533,9016,"<p>Alexandra, Andersons Bay, Balclutha, Cromwell, Dunedin, Dunedin North, Frankton, Gore, Mosgiel, Oamaru, Queenstown, South Dunedin, Waimate, Wanaka</p>",
Godfreys Eastgardens,-33.944837,151.225373,,,,"Shop 206, Westfield Eastgardens, 152 Bunnerong Road, Eastgardens NSW 2035, Australia",Eastgardens,New South Wales,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 5:00pm,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,02 9349 2551,2035,,
Godfreys Elizabeth City ,-34.715751,138.668386,,,,"Shop S91, Elizabeth Shopping Centre, Main North Road, Elizabeth City  SA 5112, Australia",Elizabeth City ,South Australia,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,11:00am - 5:00pm,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,08 8252 8999,5112,,
Godfreys Ellenbrook,-31.781082,115.974501,,,,"Cnr Pinnaster Road & Promenade, Ellenbrook WA 6069, Australia",Ellenbrook,Western Australia,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,11:00am - 5:00pm,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,08  9297 2057,6069,,
Godfreys Epping,-37.660057,145.019297,,,,"494 High Street, Epping VIC 3076, Australia",Epping,Victoria,Australia,,9:00am - 7:00pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 5:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,03 9408 9189,3076,,
Godfreys Erina,-33.435091,151.398417,,,,"Shop T88A, Erina Fair, Terrigal Drive, Erina NSW 2250, Australia",Erina,New South Wales,Australia,"<p>Godfreys Erina have a great range of cleaners for you to browse, including bagged and <a href=""http://www.godfreys.com.au/vacuum-cleaners/types/bagless"" target=""_blank"">bagless vacuum cleaners</a>. We provide free tea and coffee with armchair seating while you are being shown any products you wish to see demonstrated, and we pride ourselves on our friendly service. We are able to carry out minor vacuum repairs on-site for your convenience, and we offer competitive rates for any major repair work that needs to be carried out.</p>
<p>&nbsp;</p>
<p>We are conveniently located next to Big W inside the Erina Fair complex and there is lots of free undercover parking available. Come and see us at Godfreys Erina today, we'd love to see you!</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,02 4365 6028,2250,"<p>Avoca Beach,&nbsp;Copacabana,&nbsp;Davistown,&nbsp;Erina,&nbsp;Gosforth East,&nbsp;Gosford Nth, Gosfroth West,&nbsp;Green Point, Kincumber,&nbsp;Terrigal,&nbsp;Woy Woy,&nbsp;Wyoming</p>",
Godfreys Essendon Airport,-37.733288,144.904003,,,,"120 Bulla Road, Essendon Airport VIC 3041, Australia",Essendon Airport,Victoria,Australia,"<p>Godfreys Essendon have a huge range of products to suit all your cleaning needs. We have a massive range of vacuum cleaners, and we always have great specials instore. Whether you are after a <a href=""http://www.godfreys.com.au/vacuum-cleaners/types/bagless"" target=""_blank"">bagless vacuum cleaner,</a> a steam mop or a carpet shampooer, our friendly and experienced staff will be able to help you find the right one for your home or business. We have a professional repair centre onsite, and we can fix some vacuums on the spot. We repair all major vacuums, including Dyson, Miele, Electrolux, Hoover and more.&nbsp;</p>
<p>&nbsp;</p>
<p>The team here at Godfreys Essendon have vast experience in vacuum cleaners and all things cleaning, so come in and see us instore today!</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",10:00 - 6:00pm,10:00 - 6:00pm,10:00 - 6:00pm,10:00 - 6:00pm,10:00 - 6:00pm,10:00 - 6:00pm,10:00 - 6:00pm,,03 9937 7555,3041,"<p>Airport West, Brunswick East, Essendon, Essendon West, Moonee Ponds, Niddrie, Pascoe Vale, Strathmore</p>",
Godfreys Everton Park,-27.408344,152.991252,,,,"1/467 Southpine Road, Everton Park QLD 4053, Australia",Everton Park,Queensland,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 3:00pm,9:00am - 6:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,07 3355 6569,4053,,
Godfreys Fairy Meadow Superstore,-34.386263,150.893992,,,,"Unit 2, 493 Princes Highway, Fairy Meadow  NSW 2519, Australia",Fairy Meadow ,New South Wales,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,9:00am - 7:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,02 4284 1625,2519,,
Godfreys Figtree,-34.438112,150.863632,,,,"Shop 108, Westfield Shopping Centre, Cnr Princes Hwy & The Avenue  , Figtree NSW 2525, Australia",Figtree,New South Wales,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 4:00pm,10:00am - 4:00pm,9:00am - 8:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,02 4225 3601,2525,,
Godfreys Firle,-34.904443,138.655016,,,,"Shop 8, Firle Plaza, 171 Glynburn Road, Firle SA 5070, Australia",Firle,South Australia,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,11:00am - 5:00pm,11:00am - 5:00pm,9:00am - 7:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,08 8364 5776,5070,,
Godfreys Fortitude Valley Superstore,-27.455006,153.035955,,,,"386 Wickham Street, Fortitude Valley  QLD 4006, Australia",Fortitude Valley ,Queensland,Australia,"<p>The friendly team at Godfreys Fortitude Valley are here to help with all of your cleaning needs! We stock a huge selection of <a href=""http://www.godfreys.com.au/vacuum-cleaners"" target=""_blank"">vacuum cleaners</a> for both domestic and commercial applications, steam mops, carpet shampooers and much more. If you are a commercial cleaner, we stock a great range of commercial cleaning machines and products, along with many janitorial supplies as well. Our service and repair facility will be able to assist with broken vacuums, and we also accept trade-ins on new vacuum cleaners.&nbsp;</p>
<p>&nbsp;</p>
<p>With excellent pricing and customer service, Godfreys Fortitude Valley is your one-stop cleaning shop. We have onsite parking at the rear of the store, and we are open 7 days. We look forward to seeing you instore!</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",8:30am - 5:30pm,8:30am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,8:30am - 5:30pm,8:30am - 5:30pm,8:30am - 5:30pm,,07 3257 1744,4006,"<p>Brisbane, Bowen Hills, Fortitude Valley, Herston, Kelvin Grove, Milton, New Farm, Newstead, Paddington, Red Hill. Spring Hill</p>",
Godfreys Fountain Gate,-38.017601,145.303266,,,,"Shop 211, Upper Level, Fountain Gate Shopping Centre, Magid Drive, Fountain Gate VIC 3805, Australia",Fountain Gate,Victoria,Australia,"<p>Godfreys Fountain Gate have a wonderful range of domestic <a href=""http://www.godfreys.com.au/vacuum-cleaners"" target=""_blank"">vacuum cleaners</a> for you to browse. We offer exceptional customer service to everyone, and we are easy to visit as we are right near the Coles carpark.&nbsp;</p>
<p>&nbsp;</p>
<p>Come and visit us at Godfreys Fountain Gate today and see our great range for yourself!</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 5:00pm,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,03 9704 9555,3805,"<p>Beaconsfield, Berwick, Endeavour Hills, Fountain Gate, Hampton Park, Narre Warren</p>",
Godfreys Frankston Power Centre,-38.148041,145.137055,,,,"Shop F6, Frankston Power Centre 111 Cranbourne Road, Frankston Power Centre VIC 3165, Australia",Frankston Power Centre,Victoria,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 5:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,03 9770 0688,3165,,
Godfreys Fyshwick Superstore,-35.325324,149.166774,,,,"Unit 5, 100 Barrier Street, Fyshwick ACT 2609, Australia",Fyshwick,Australian Capital Territory,Australia,,9:00am - 5:30 pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 5:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,02  6280 0441,2609,,
Godfreys Garden City,-27.562583,153.08425,,,,"Shop 2059 Westfield Garden City, Cnr Logan and Kessels Road, Upper Mount Gravatt QLD 4122, Australia",Upper Mount Gravatt,Queensland,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,9:00am - 7:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,07 3349 1937 ,4122,,
Godfreys Geelong North,-38.064248,144.382612,,,,"484 Princes Hwy, Geelong North VIC 3215, Australia",Geelong North,Victoria,Australia,,9:00am - 6:00pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 5:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,03 5278 6999,3215,,
Godfreys Gepps Cross Superstore,-34.844555,138.600136,,,,"24 - 28 Port Wakefield Road, Gepps Cross  SA 5094, Australia",Gepps Cross ,South Australia,Australia,"<p>Godfreys Gepps Cross are the experts in all things cleaning! Visit our massive store today and browse our great range of domestic and <a href=""http://www.godfreys.com.au/commercial-vacuum-cleaners"" target=""_blank"">commercial vacuum cleaners</a>. We have a <a href=""http://www.godfreys.com.au/vacuum-cleaner-repairs-service"" target=""_blank"">service and repair</a> centre on-site, so if your vacuum is giving you trouble bring it in and we'll take a look at it for you.&nbsp;</p>
<p>&nbsp;</p>
<p>Here at Godfreys Gepps Cross we have over 30 years experience, so you're sure to get expert advice no matter what your cleaning needs. Come in today and experience our wonderful customer service for yourself!</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,08 8262 6289,5094,"<p>Gepps Cross, Mawson Lakes, Modbury, Pooraka, Virginia</p>",
Godfreys Geraldton,-28.756986,114.625649,,,,"Tenancy 1, Geraldton Homemaker Centre, 208 - 210 Northwest Coastal Hwy,  WA 6530, Australia",,Western Australia,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,10:00 - 4:00pm,,08 9921 5471,6530,,
Godfreys Gisborne,-38.666282,178.022749,,,,"152 Grey Street, Gisborne  4010, New Zealand",Gisborne,,New Zealand,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,10:00 - 4:00pm,,06 8687132,4010,,
Godfreys Glendale,-32.934893,151.640849,,,,"Shop 47, Stockland Glendale, 387 Lake Road, Glendale NSW 2285, Australia",Glendale,New South Wales,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 4:00pm,10:00am - 4:00pm,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,02 4954 4498,2285,,
Godfreys Greensborough,-37.703742,145.10356,,,,"2/15 Main St, Greensborough VIC 3088, Australia",Greensborough,Victoria,Australia,,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 5:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,03 9432 0151,3088,,
Godfreys Hamilton Central,-37.793361,175.282406,,,,"6/60 Tristram St, Hamilton Central  3204, New Zealand",Hamilton Central,,New Zealand,,9am - 5.30pm,9am - 5.30pm,9am - 5pm,10am - 5pm,9am - 5.30pm,9am - 5.30pm,9am - 5.30pm,,07 834 9940,3204,,
Godfreys Hamilton The Base,-37.749021,175.233069,,,,"Shop R50A, Te Awa at The Base, Maahanga Drive    , Te Rapa  3200, New Zealand",Te Rapa,,New Zealand,,9am - 9pm,9am - 6pm,9am - 6pm,9am - 6pm,9am - 9pm,9am - 6pm,9am - 6pm,,07 849 3440,3200,,
Godfreys Hastings,-39.640782,176.844861,,,,"211 Russel St, Hastings  4122, New Zealand",Hastings,,New Zealand,,9am - 5.30pm,9am - 5.30pm,9am - 5pm,10am - 4pm,9am - 5.30pm,9am - 5.30pm,9am - 5.30pm,,06 870 3286,4122,,
Godfreys Helensvale,-27.926828,153.335714,,,,"Shop 1002, Westfields Helensvale, 1-29 Millaroo Drive, Helensvale QLD 4212, Australia",Helensvale,Queensland,Australia,"<p>Godfreys at Westfield Helensvale stocks a diverse selection of bagged and <a href=""http://www.godfreys.com.au/vacuum-cleaners/types/bagless"" target=""_blank"">bagless vacuum cleaners</a>, for hard floors, carpets and commercial cleaning applications.&nbsp;We also stock a large selection of carpet shampooers, hardfloor scrubbers, steam cleaners, <a href=""http://www.godfreys.com.au/vacuum-cleaners/types/stick"" target=""_blank"">stick vacuums</a> and parts and accessories for all cleaning purposes.</p>
<p>&nbsp;</p>
<p>Our friendly staff Ramon and Daniel will greet you with a smile, and are only too happy to compare and demonstrate any machine in store. At Godfreys Helensvale we will make sure you get the right information and&nbsp;machine &nbsp;for your specific cleaning needs, resulting in a healthy home environment for you and your family. We look forward to seeing you instore!</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,9:00am - 7:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,07 5519 4920,4212,,
Godfreys Hervey Bay,-25.287447,152.833701,,,,"Tenancy B, 132 Boat Harbour Drive, Pialba QLD 4655, Australia",Pialba,Queensland,Australia,,8:30am - 5:30pm,8:30am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,8:30am - 5:30pm,8:30am - 5:30pm,8:30am - 5:30pm,,07 4325 4432,4655,,
Godfreys HighPoint,-37.773415,144.888688,,,,"L2 Shop 2149, Highpoint Shopping Centre, 120-200 Rosamond Road, HighPoint VIC 3032, Australia",HighPoint,Victoria,Australia,,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:00pm,9:00am - 5:00pm,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,03 9318 3200,3032,,
Godfreys Hilton Superstore,-34.931794,138.567512,,,,"92 Sir Donald Bradman Drive, Hilton  SA 5033, Australia",Hilton ,South Australia,Australia,"<p>Godfreys Hilton offer a large range of cleaning machines for you to browse. Come in and see our selection of <a href=""http://www.godfreys.com.au/vacuum-cleaners"" target=""_blank"">vacuum cleaners</a>, carpet extractors, steam mops and more! We have a comprehensive on-site repair centre, so bring in your vacuum if its giving you trouble and we'll see what we can do to fix it. We can repair both domestic vacuums and commercial vacuums, sometimes on the same day if possible.&nbsp;</p>
<p>&nbsp;</p>
<p>Godfreys Hilton are proud to have the largest range of <a href=""http://www.godfreys.com.au/vacuum-cleaners?head_type=74"" target=""_blank"">powerhead vacuums</a> around, and we're close to the city for convenience. We look forward to seeing you instore!</p>
<p>&nbsp;</p>",9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,11:00am - 5:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,08 8234 5037 ,5033,,
Godfreys Hobart,-42.879446,147.322956,,,,"160 Elizabeth Street, Hobart TAS 7000, Australia",Hobart,Tasmania,Australia,,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 4:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,03 6234 5944,7000,,
Godfreys Hoppers Crossing,-37.880291,144.704933,,,,"52-54 Old Geelong Road, Hoppers Crossing VIC 3029, Australia",Hoppers Crossing,Victoria,Australia,"<p>Godfreys Hoppers Crossing has a vast range of <a href=""http://www.godfreys.com.au/vacuum-cleaners"">vacuum cleaners</a>, carpet shampooers and steam mops for you to browse. There are many commercial vacuums to browse as well if you require them for a commercial enviroment, and we also offer trade-ins across our domestic and commercial range. We have accessories to suit a huge range of machines, including <a href=""http://www.godfreys.com.au/vacuum-cleaner-parts/vacuum-cleaner-bags"">vacuum bags</a>, vacuum filters and other accessories.</p>
<p>&nbsp;</p>
<p>We offer a full service and repair facility, so if your vacuum is giving you trouble feel free to bring your vacuum in and we'll take a look at it for you. Come and see the team at Godfreys Hoppers Crossing today and experience our great customer service for yourself!</p>",9:00am - 8:00pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 5:00pm,9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:30pm,,03 9748 7344,3029,"<p>Altona, Altona Meadows, Hoppers Crossing, Laverton, Manor, Point Cook, Tarneit, Truganina, Werribee</p>",
Godfreys Hornsby,-33.70109,151.099702,,,,"Shop 1012, Westfield Shoppingtown Hornsby, Cnr Edgeworth David & George Street, Hornsby NSW 2077, Australia",Hornsby,New South Wales,Australia,"<p>Godfreys Hornsby have a friendly team of experts who can help you with any cleaning situation. We stock an extensive range of <a href=""http://www.godfreys.com.au/vacuum-cleaners"" target=""_blank"">vacuum cleaners</a>, and we also have many steam cleaners and carpet extractors for you to browse.&nbsp;</p>
<p>&nbsp;</p>
<p>We are conveniently located across the road from Hornsby train station in the Westfield mall. Godfreys Hornsby will always offer you friendly and reliable after-sales service, so come and see us instore today!</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",9:00am - 5:30pm,9:00am - 5:30pm,9:00am - 5:00pm,10:00am - 5:00pm,9:00am - 9:00pm,9:00am - 5:30pm,9:00am - 5:30pm,,02 9476 6605,2077,"<p>Central Coast, Hills District, Hornsby, Northern Beaches</p>",
